"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"46","小蓟",37,1035,27.972972972973
"118","白茅根",35,1020,29.1428571428571
"230","黄芪",34,652,19.1764705882353
"232","墨旱莲(旱莲草)",22,480,21.8181818181818
"116","白花蛇舌草",27,470,17.4074074074074
"35","地黄",31,457,14.741935483871
"21","制山茱萸(山萸肉)",32,432,13.5
"64","柴胡",37,402,10.8648648648649
"28","半枝莲",22,375,17.0454545454545
"155","茜草",24,355,14.7916666666667
"229","黄芩",29,348,12
"97","牡丹皮",23,336,14.6086956521739
"195","赤芍",22,335,15.2272727272727
"119","白茯苓",19,295,15.5263157894737
"85","炒牛蒡子",11,285,25.9090909090909
"178","蜀羊泉(白英)",17,285,16.7647058823529
"183","蜜麸山药",18,285,15.8333333333333
"10","党参",21,277,13.1904761904762
"109","生白术",17,274,16.1176470588235
"6","仙鹤草",9,255,28.3333333333333
"47","山药(生山药)",12,235,19.5833333333333
"98","牡蛎",12,225,18.75
"222","马鞭草",7,210,30
"107","生丹参",10,200,20
"202","郁金(广)",14,199,14.2142857142857
"162","荆芥炭",13,198,15.2307692307692
"193","贯众炭",7,195,27.8571428571429
"225","鹿衔草(鹿含草)",7,195,27.8571428571429
"216","青连翘",16,191,11.9375
"128","知母",15,189,12.6
"50","川芎",13,187,14.3846153846154
"188","蜜麸炒白芍",11,186,16.9090909090909
"213","防风炭",12,180,15
"101","玄参",13,178,13.6923076923077
"157","茯神",12,177,14.75
"44","女贞子(制)",9,152,16.8888888888889
"30","合欢皮",8,150,18.75
"91","煅瓦楞子",6,150,25
"124","盐杜仲",10,150,15
"14","关黄柏",10,142,14.2
"217","青风藤",5,140,28
"206","金樱子",5,125,25
"39","大蓟",4,120,30
"171","葛根",7,120,17.1428571428571
"172","蒲公英",5,120,24
"175","薏苡根",4,120,30
"20","制厚朴",9,112,12.4444444444444
"212","防风",9,112,12.4444444444444
"121","白龙齿",7,105,15
"234","龙骨(先煎)",7,105,15
"43","太子参",7,102,14.5714285714286
"110","生白芍",7,99,14.1428571428571
"70","槲寄生(桑寄生)",6,95,15.8333333333333
"66","桂枝",10,93,9.3
"84","炒海螵蛸",4,90,22.5
"131","石膏",3,90,30
"148","芡实",3,90,30
"174","薏苡仁(米仁)",3,90,30
"187","蜜麸炒白术",6,90,15
"190","蝉蜕(蝉衣)",8,90,11.25
"112","生蒲黄",6,84,14
"87","炒蒺藜(白蒺藜)",6,80,13.3333333333333
"138","粉萆_",3,80,26.6666666666667
"184","蜜麸炒僵蚕",6,78,13
"8","佩兰(干)",5,75,15
"29","南沙参",7,75,10.7142857142857
"54","当归",5,75,15
"106","甘草",9,75,8.33333333333333
"133","石韦",3,75,25
"156","茜草炭",5,75,15
"189","蜜麸炒苍术",5,75,15
"194","赤小豆",2,75,37.5
"219","首乌藤(夜交藤)",3,75,25
"48","川佛手",7,74,10.5714285714286
"74","泽泻",6,71,11.8333333333333
"214","附子(熟附片)",7,70,10
"65","栀子(焦山栀)",5,69,13.8
"185","蜜麸炒枳壳(枳壳)",5,69,13.8
"77","淡竹叶",6,68,11.3333333333333
"96","牛膝(怀牛膝)",5,67,13.4
"186","蜜麸炒枳实(枳实)",5,65,13
"5","五味子(制)",6,60,10
"12","六月雪",2,60,30
"33","地肤子",3,60,20
"53","干荷叶",4,60,15
"56","徐长卿",2,60,30
"60","木芙蓉叶",2,60,30
"90","煅牡蛎",2,60,30
"93","煨诃子",4,60,15
"122","百合",4,60,15
"163","草蒲黄炭",4,60,15
"170","菟丝子",4,60,15
"19","制半夏(姜半夏)",7,58,8.28571428571429
"191","覆盆子",4,55,13.75
"42","天麻",6,54,9
"99","独活",4,50,12.5
"102","玉竹",4,50,12.5
"181","蜜炙黄芪",3,50,16.6666666666667
"203","酒制大黄",4,48,12
"24","制黄精",3,45,15
"37","垂盆草",2,45,22.5
"38","夏枯草",3,45,15
"63","枸杞子",3,45,15
"123","益母草",3,45,15
"137","积雪草(落得打)",2,45,22.5
"145","续断",3,45,15
"158","茵陈",3,45,15
"165","荠菜花",2,45,22.5
"177","虎杖",3,45,15
"210","铁苋菜(血见愁)",2,45,22.5
"215","陈皮",6,45,7.5
"218","预知子(八月扎)",3,42,14
"22","制苍术",3,40,13.3333333333333
"78","淫羊藿(仙灵脾)",2,40,20
"94","熟地黄",3,40,13.3333333333333
"130","石斛(川石斛)",3,40,13.3333333333333
"166","莪术",3,40,13.3333333333333
"223","鬼箭羽",2,40,20
"89","炒酸枣仁",3,39,13
"231","黄连",6,36,6
"132","石菖蒲",3,35,11.6666666666667
"208","金银花",4,35,8.75
"9","光桃仁(_桃仁)",2,30,15
"11","全瓜蒌",1,30,30
"16","凤尾草",2,30,15
"32","土茯苓",1,30,30
"40","大血藤(红藤)",2,30,15
"45","威灵仙",3,30,10
"57","接骨木",1,30,30
"76","海金沙",1,30,30
"79","淮小麦",1,30,30
"80","火麻仁",1,30,30
"88","炒车前子",1,30,30
"92","煅白螺蛳壳",1,30,30
"103","玉米须",2,30,15
"105","珍珠母",1,30,30
"111","生稻芽",1,30,30
"113","生鸡内金",2,30,15
"114","生麦芽",1,30,30
"135","磁石(灵磁石)",1,30,30
"139","糯稻根",1,30,30
"141","紫贝齿",1,30,30
"167","莱菔子(炒)",1,30,30
"168","莲子",1,30,30
"196","赭石(代赭石)",2,30,15
"197","车前草",2,30,15
"200","连钱草(金钱草)",1,30,30
"209","金雀根",1,30,30
"154","苦参",3,29,9.66666666666667
"228","麻黄",2,29,14.5
"23","制远志",3,27,9
"100","猪苓",2,27,13.5
"51","巴戟天",3,26,8.66666666666667
"4","三棱",2,25,12.5
"68","桑白皮",2,25,12.5
"125","盐益智仁",2,25,12.5
"161","荆芥",2,25,12.5
"211","防已(汉防己)",2,25,12.5
"199","辛夷",2,24,12
"207","金沸草(旋覆梗)",2,24,12
"220","香橼(蜜麸炒)",3,24,8
"27","升麻",2,20,10
"72","沙苑子(潼疾藜)",2,20,10
"146","羌活",2,20,10
"151","苏木",2,20,10
"159","茶树根",1,20,20
"1","_苦杏仁",2,18,9
"59","景天三七",1,18,18
"75","浮萍",1,18,18
"134","砂仁(阳春砂)",4,18,4.5
"140","紫苏叶(苏叶)",1,18,18
"142","红花",2,18,9
"152","苏败酱(败酱草)",1,18,18
"179","蜜炙甘草",2,16,8
"2","_蓄",1,15,15
"15","冬瓜子",1,15,15
"26","千年健",1,15,15
"36","地龙",1,15,15
"41","天花粉",1,15,15
"49","川牛膝",1,15,15
"62","板蓝根",1,15,15
"67","桑椹(桑椹子)",1,15,15
"71","水牛角",1,15,15
"95","片姜黄",1,15,15
"104","王不留行(炒)",1,15,15
"108","生侧柏叶",1,15,15
"115","白扁豆",1,15,15
"117","白芷",1,15,15
"127","瞿麦",1,15,15
"129","石打穿",1,15,15
"136","秫米(北秫米)",1,15,15
"144","络石藤",1,15,15
"149","芦根(干)",1,15,15
"153","苘麻子(冬葵子)",1,15,15
"160","茺蔚子",1,15,15
"176","藕节炭",1,15,15
"180","蜜炙麻黄",1,15,15
"198","软滑石",1,15,15
"221","香豆豉(豆豉)",1,15,15
"224","鱼腥草",1,15,15
"233","龙葵",1,15,15
"3","三七粉",6,12,2
"13","六神曲炭",1,12,12
"25","北沙参",1,12,12
"73","河白草",1,12,12
"86","炒瓜蒌皮",1,12,12
"226","麦冬",1,12,12
"52","干姜",4,11,2.75
"34","地骨皮",1,10,10
"55","当归炭",1,10,10
"69","桔梗",1,10,10
"83","炒桑螵蛸",1,10,10
"120","白菊花",1,10,10
"126","盐补骨脂",1,10,10
"182","蜜百部(炙百部)",1,10,10
"201","通草(方通草)",1,10,10
"17","制乌梅",1,9,9
"18","制何首乌",1,9,9
"58","旋覆花",1,9,9
"81","灵芝",1,9,9
"82","炒五灵脂",1,9,9
"147","肉桂",2,9,4.5
"164","荔枝核",1,9,9
"192","豆蔻(白豆蔻)",2,9,4.5
"204","醋鳖甲",1,9,9
"205","醋龟甲(龟版)",1,9,9
"227","麸煨肉豆蔻(肉果)",1,9,9
"169","莲子心",1,6,6
"173","薄荷",1,6,6
"7","佛手花",1,3,3
"31","吴茱萸(制)",1,3,3
"61","木蝴蝶",1,3,3
"143","细辛",1,3,3
"150","芦荟",1,3,3
